Ano;Mês;"Código ISIC Grupo";"Descrição ISIC Grupo";"Valor FOB (US$)";"Quilograma Líquido"
2023;05;291;"Fabricação de veículos automotores";913214146;84500006
2023;03;291;"Fabricação de veículos automotores";872453348;79728514
2023;04;291;"Fabricação de veículos automotores";865275804;80030390
2023;06;291;"Fabricação de veículos automotores";823397783;75371965
2023;10;291;"Fabricação de veículos automotores";809813557;71847596
2023;07;291;"Fabricação de veículos automotores";798241220;70725479
2023;08;291;"Fabricação de veículos automotores";749135360;66815086
2023;02;291;"Fabricação de veículos automotores";713416709;67039017
2023;11;291;"Fabricação de veículos automotores";671182839;59818040
2023;01;291;"Fabricação de veículos automotores";604493865;57391903
2023;12;291;"Fabricação de veículos automotores";592262933;52584014
2023;09;291;"Fabricação de veículos automotores";563307120;49442255
2023;08;293;"Fabricação de peças e acessórios para veículos automotores";474578148;72535046
2023;05;293;"Fabricação de peças e acessórios para veículos automotores";456893920;67557084
2023;03;293;"Fabricação de peças e acessórios para veículos automotores";447227141;68170464
2023;07;293;"Fabricação de peças e acessórios para veículos automotores";442010223;67182762
2023;06;293;"Fabricação de peças e acessórios para veículos automotores";414536036;60862305
2023;09;293;"Fabricação de peças e acessórios para veículos automotores";406443870;60438982
2023;04;293;"Fabricação de peças e acessórios para veículos automotores";405795135;59145819
2023;10;293;"Fabricação de peças e acessórios para veículos automotores";403712916;61454657
2023;11;293;"Fabricação de peças e acessórios para veículos automotores";395812386;59250771
2023;02;293;"Fabricação de peças e acessórios para veículos automotores";367106451;56105126
2023;12;293;"Fabricação de peças e acessórios para veículos automotores";336395353;51881902
2023;01;293;"Fabricação de peças e acessórios para veículos automotores";321181452;50394346
2023;11;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";54574301;5965342
2023;10;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";54198490;6103157
2023;09;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";46551491;5069565
2023;05;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";45684063;5743251
2023;07;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";44373845;4936729
2023;08;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";44051845;5059081
2023;12;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";43322119;5082206
2023;06;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";39156272;4806384
2023;01;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";37728621;4594911
2023;03;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";36706357;4789833
2023;02;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";36682010;4485977
