Ano;Mês;"Código ISIC Grupo";"Descrição ISIC Grupo";"Valor FOB (US$)";"Quilograma Líquido"
2023;10;291;"Fabricação de veículos automotores";1104909153;80297338
2023;12;291;"Fabricação de veículos automotores";1102442205;78738883
2023;11;291;"Fabricação de veículos automotores";1094310465;76631519
2023;08;291;"Fabricação de veículos automotores";1003120032;74033172
2023;03;293;"Fabricação de peças e acessórios para veículos automotores";930343646;93396307
2023;08;293;"Fabricação de peças e acessórios para veículos automotores";912874421;94757982
2023;09;291;"Fabricação de veículos automotores";906532752;68513366
2023;05;293;"Fabricação de peças e acessórios para veículos automotores";900426928;91796419
2023;05;291;"Fabricação de veículos automotores";867508099;66231916
2023;03;291;"Fabricação de veículos automotores";841106588;63233418
2023;04;293;"Fabricação de peças e acessórios para veículos automotores";834105442;82976021
2023;10;293;"Fabricação de peças e acessórios para veículos automotores";821419094;88537122
2023;07;291;"Fabricação de veículos automotores";799199559;58443294
2023;06;291;"Fabricação de veículos automotores";793002266;60848593
2023;01;293;"Fabricação de peças e acessórios para veículos automotores";788277819;82787785
2023;11;293;"Fabricação de peças e acessórios para veículos automotores";784226052;82800744
2023;07;293;"Fabricação de peças e acessórios para veículos automotores";782371332;80492903
2023;04;291;"Fabricação de veículos automotores";770048048;56943617
2023;06;293;"Fabricação de peças e acessórios para veículos automotores";762990178;78865727
2023;09;293;"Fabricação de peças e acessórios para veículos automotores";761166621;81271123
2023;02;293;"Fabricação de peças e acessórios para veículos automotores";701075544;73271159
2023;12;293;"Fabricação de peças e acessórios para veículos automotores";660918277;69562680
2023;02;291;"Fabricação de veículos automotores";575057445;44619370
2023;01;291;"Fabricação de veículos automotores";547812823;41682112
2023;01;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";12818677;3123368
2023;05;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";12659034;2381062
2023;10;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";12544365;2162121
2023;07;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";12444669;2498099
2023;06;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";10313817;1892566
2023;08;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";10310406;2311482
2023;09;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";9168611;2488984
2023;04;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";8766838;2277121
2023;02;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";8690216;1563016
2023;12;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";7990525;2217045
2023;11;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";7953533;1374733
2023;03;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";7648297;1811671
2022;08;293;"Fabricação de peças e acessórios para veículos automotores";980495851;103245768
2022;05;293;"Fabricação de peças e acessórios para veículos automotores";977130902;99712892
2022;11;291;"Fabricação de veículos automotores";947360694;74086169
2022;03;293;"Fabricação de peças e acessórios para veículos automotores";935480142;99340497
2022;10;291;"Fabricação de veículos automotores";931338719;74265441
2022;08;291;"Fabricação de veículos automotores";879176070;70817931
2022;07;293;"Fabricação de peças e acessórios para veículos automotores";878652592;93320201
2022;09;293;"Fabricação de peças e acessórios para veículos automotores";855548539;90536163
2022;10;293;"Fabricação de peças e acessórios para veículos automotores";850170889;92348748
2022;06;291;"Fabricação de veículos automotores";822878646;61934121
2022;04;293;"Fabricação de peças e acessórios para veículos automotores";806341193;86107403
2022;11;293;"Fabricação de peças e acessórios para veículos automotores";789347719;84744829
2022;06;293;"Fabricação de peças e acessórios para veículos automotores";783238991;82735102
2022;09;291;"Fabricação de veículos automotores";779352753;64352415
2022;01;293;"Fabricação de peças e acessórios para veículos automotores";752576195;82866832
2022;02;293;"Fabricação de peças e acessórios para veículos automotores";724353446;77433717
2022;12;293;"Fabricação de peças e acessórios para veículos automotores";690605071;72203417
2022;04;291;"Fabricação de veículos automotores";675013252;52685580
2022;12;291;"Fabricação de veículos automotores";648785903;48725141
2022;05;291;"Fabricação de veículos automotores";636014433;49765896
2022;03;291;"Fabricação de veículos automotores";629424802;47862878
2022;07;291;"Fabricação de veículos automotores";598797562;45981186
2022;02;291;"Fabricação de veículos automotores";398374633;31498088
2022;01;291;"Fabricação de veículos automotores";367276271;31914105
2022;09;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";10948530;3224589
2022;07;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";10756529;3936778
2022;08;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";9094867;2737361
2022;03;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";8991829;2912857
2022;05;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";7858913;2266028
2022;12;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";6889562;1909523
2022;01;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";6826892;1401366
2022;10;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";6600787;2893849
2022;06;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";6537048;1824814
2022;11;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";6185198;1632447
2022;04;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";6160738;1099528
2022;02;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";5302760;3120451
2021;03;293;"Fabricação de peças e acessórios para veículos automotores";957083118;104002989
2021;07;293;"Fabricação de peças e acessórios para veículos automotores";847184421;93337980
2021;05;293;"Fabricação de peças e acessórios para veículos automotores";847100032;91567523
2021;04;293;"Fabricação de peças e acessórios para veículos automotores";819399999;85148866
2021;08;293;"Fabricação de peças e acessórios para veículos automotores";811700035;88569050
2021;09;293;"Fabricação de peças e acessórios para veículos automotores";800364513;85151326
2021;06;293;"Fabricação de peças e acessórios para veículos automotores";776999891;84474410
2021;02;293;"Fabricação de peças e acessórios para veículos automotores";751945921;82978638
2021;10;293;"Fabricação de peças e acessórios para veículos automotores";748166299;79740241
2021;11;293;"Fabricação de peças e acessórios para veículos automotores";721802325;78891122
2021;01;293;"Fabricação de peças e acessórios para veículos automotores";718194095;78400821
2021;12;291;"Fabricação de veículos automotores";706917096;60842844
2021;06;291;"Fabricação de veículos automotores";702754914;59403287
2021;11;291;"Fabricação de veículos automotores";679884072;55820903
2021;12;293;"Fabricação de peças e acessórios para veículos automotores";660865964;70916421
2021;10;291;"Fabricação de veículos automotores";622734554;52512563
2021;07;291;"Fabricação de veículos automotores";596845627;50261840
2021;08;291;"Fabricação de veículos automotores";584940157;47004837
2021;05;291;"Fabricação de veículos automotores";555685895;45638399
2021;09;291;"Fabricação de veículos automotores";554501397;46548710
2021;03;291;"Fabricação de veículos automotores";545537843;47796848
2021;04;291;"Fabricação de veículos automotores";529016659;44601531
2021;02;291;"Fabricação de veículos automotores";392440398;34154371
2021;01;291;"Fabricação de veículos automotores";302995570;25873637
2021;04;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";8218728;3166380
2021;12;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";7554543;4216052
2021;05;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";7467633;6019057
2021;07;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";7321670;2828152
2021;08;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";6664088;2610544
2021;09;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";6625873;2642201
2021;03;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";6451789;3081398
2021;01;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";5350866;1058414
2021;10;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";5298065;1917473
2021;06;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";5101208;3023500
2021;02;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";4841457;1317228
2021;11;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";3729555;3221621
2020;11;293;"Fabricação de peças e acessórios para veículos automotores";772582315;85153570
2020;01;293;"Fabricação de peças e acessórios para veículos automotores";750107567;82083320
2020;12;293;"Fabricação de peças e acessórios para veículos automotores";734925769;76499020
2020;03;293;"Fabricação de peças e acessórios para veículos automotores";688347308;71852376
2020;10;293;"Fabricação de peças e acessórios para veículos automotores";618222612;64631885
2020;02;293;"Fabricação de peças e acessórios para veículos automotores";609111285;69084857
2020;10;291;"Fabricação de veículos automotores";483886850;41163398
2020;09;293;"Fabricação de peças e acessórios para veículos automotores";476946814;52962276
2020;11;291;"Fabricação de veículos automotores";470597564;41614306
2020;02;291;"Fabricação de veículos automotores";465575141;37968304
2020;04;293;"Fabricação de peças e acessórios para veículos automotores";464384188;49372538
2020;12;291;"Fabricação de veículos automotores";441622100;39109223
2020;03;291;"Fabricação de veículos automotores";439746681;37101636
2020;01;291;"Fabricação de veículos automotores";438104874;35780126
2020;08;293;"Fabricação de peças e acessórios para veículos automotores";432552075;47660137
2020;09;291;"Fabricação de veículos automotores";417263496;35438807
2020;05;293;"Fabricação de peças e acessórios para veículos automotores";388328051;41833328
2020;07;293;"Fabricação de peças e acessórios para veículos automotores";367710753;40043072
2020;08;291;"Fabricação de veículos automotores";357354950;30323421
2020;06;293;"Fabricação de peças e acessórios para veículos automotores";341586597;36743121
2020;07;291;"Fabricação de veículos automotores";288377144;24957524
2020;04;291;"Fabricação de veículos automotores";233888160;20164142
2020;06;291;"Fabricação de veículos automotores";206644649;17463616
2020;05;291;"Fabricação de veículos automotores";144834345;12575259
2020;02;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";14195107;2184805
2020;07;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";12687437;2784255
2020;03;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";12372193;2858534
2020;04;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";11699730;2238195
2020;01;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";11267463;3687011
2020;06;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";10019590;1983623
2020;10;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";7476958;1835084
2020;11;292;"Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques";6617535;1342303
